condition,model,score_full,score_public_32,score_private_68,boot_mean,boot_std,boot_ci_lo,boot_ci_hi,boot_range,lab_CRIM13,lab_CalMS21_supplemental,lab_CalMS21_task1,lab_CalMS21_task2,lab_CautiousGiraffe,lab_ElegantMink,lab_InvincibleJellyfish,lab_JovialSwallow,lab_TranquilPanther
raw,tcn,0.2736,0.2983,0.2727,0.2767,0.0424,0.2004,0.3633,0.1628,0.2563,0.2416,0.3872,0.3613,0.1914,0.2343,0.2682,0.2867,0.2355
raw,histgb,0.2523,0.3056,0.2555,0.2609,0.0449,0.1772,0.3581,0.1809,0.2735,0.1914,0.2691,0.4844,0.084,0.2313,0.2796,0.3024,0.1553
raw,bilstm,0.222,0.2251,0.2502,0.2359,0.0415,0.1664,0.3204,0.154,0.207,0.238,0.3203,0.3746,0.1532,0.1806,0.2418,0.248,0.0349
raw,rf,0.2156,0.2684,0.2162,0.2378,0.0449,0.1599,0.3287,0.1687,0.3149,0.0942,0.0979,0.4212,0.1682,0.1727,0.1894,0.3327,0.1489
corr,tcn,0.2102,0.2301,0.2226,0.2315,0.0445,0.1531,0.322,0.1688,0.2895,0.134,0.2815,0.3492,0.1103,0.0654,0.2915,0.2227,0.1477
corr,histgb,0.1951,0.2089,0.207,0.2163,0.0403,0.1469,0.2995,0.1526,0.2298,0.163,0.2331,0.362,0.0623,0.0689,0.2393,0.264,0.134
corr,rf,0.1903,0.2185,0.1995,0.2093,0.0435,0.1323,0.2978,0.1655,0.2808,0.0882,0.1606,0.3122,0.0595,0.1726,0.2813,0.2656,0.0921
corr,bilstm,0.1853,0.2051,0.1934,0.2044,0.0436,0.1326,0.2982,0.1657,0.1741,0.1508,0.2612,0.2894,0.1252,0.0648,0.2766,0.1942,0.1311
