strategy,AULC_corr,AULC_raw,AULC_delta,F1fin_corr,F1fin_raw,F1fin_delta
random,0.3134 ± 0.0143,0.3289 ± 0.0186,-0.0155,0.3338 ± 0.0322,0.3614 ± 0.0146,-0.0276
entropy,0.3040 ± 0.0292,0.3547 ± 0.0272,-0.0507,0.3842 ± 0.0356,0.4392 ± 0.0185,-0.055
