condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
raw,CautiousGiraffe,CalMS21_supplemental,0.0,3,3767,5322,8.55
raw,CautiousGiraffe,InvincibleJellyfish,0.0,3,3767,2500,8.58
raw,CautiousGiraffe,JovialSwallow,0.0,2,3767,1893,8.98
raw,CautiousGiraffe,TranquilPanther,0.0,2,3767,1844,8.18
raw,CautiousGiraffe,CautiousGiraffe,0.0278,5,2606,1161,3.58
raw,CautiousGiraffe,CRIM13,0.0,1,3767,3768,5.98
raw,CautiousGiraffe,ElegantMink,0.0,1,3767,1893,4.08
corr,CalMS21_task1,CalMS21_task1,0.0939,6,2668,1482,9.14
corr,CalMS21_task1,InvincibleJellyfish,0.0178,3,4150,2500,8.89
corr,CalMS21_task1,CalMS21_task2,0.1654,3,4150,5452,8.89
corr,CalMS21_task1,JovialSwallow,0.0724,2,4150,1893,9.24
corr,CalMS21_task1,TranquilPanther,0.0431,2,4150,1844,9.21
corr,CalMS21_task1,CalMS21_supplemental,0.0623,7,4150,5322,9.25
corr,CalMS21_task2,CalMS21_task2,0.5116,2,3772,1680,9.24
corr,CalMS21_task1,ElegantMink,0.0305,2,4150,1893,9.51
corr,CalMS21_task1,CRIM13,0.0683,4,4150,3768,9.44
corr,CalMS21_task1,CautiousGiraffe,0.0037,3,4150,3767,9.49
corr,CalMS21_task2,CalMS21_task1,0.1329,3,5452,4150,9.9
corr,CalMS21_task2,CalMS21_supplemental,0.0935,3,5452,5322,13.01
corr,CalMS21_task2,JovialSwallow,0.089,2,5452,1893,11.97
corr,CalMS21_task2,TranquilPanther,0.026,1,5452,1844,11.86
corr,CalMS21_task2,InvincibleJellyfish,0.1349,2,5452,2500,11.96
corr,CalMS21_task2,CRIM13,0.1045,3,5452,3768,11.91
corr,CalMS21_task2,ElegantMink,0.0336,1,5452,1893,11.65
corr,CalMS21_task2,CautiousGiraffe,0.0043,1,5452,3767,13.93
corr,CalMS21_supplemental,CalMS21_supplemental,0.2461,3,3642,1680,11.09
corr,CalMS21_supplemental,CalMS21_task1,0.0643,7,5322,4150,12.34
corr,CalMS21_supplemental,CalMS21_task2,0.1658,3,5322,5452,12.3
corr,CalMS21_supplemental,JovialSwallow,0.0437,2,5322,1893,12.26
corr,CalMS21_supplemental,InvincibleJellyfish,0.0308,3,5322,2500,12.38
corr,CalMS21_supplemental,TranquilPanther,0.0497,2,5322,1844,12.52
corr,JovialSwallow,CalMS21_task1,0.0065,2,1893,4150,7.98
corr,JovialSwallow,CalMS21_task2,0.0027,2,1893,5452,8.05
corr,CalMS21_supplemental,CRIM13,0.029,4,5322,3768,10.43
corr,CalMS21_supplemental,ElegantMink,0.0282,1,5322,1893,10.08
corr,CalMS21_supplemental,CautiousGiraffe,0.003,3,5322,3767,9.75
corr,JovialSwallow,JovialSwallow,0.0124,1,1250,643,1.84
corr,JovialSwallow,CalMS21_supplemental,0.0018,2,1893,5322,3.28
