condition,model,f1_event_argmax,f1_event_official,gain_thresholds,f1_macro_window,fit_predict_s,n_train_win,n_test_win,epochs
raw,rf,0.0245,0.1932,0.1687,0.1464,44.86,50000,37846,
raw,histgb,0.2177,0.2369,0.0193,0.1411,144.62,50000,37846,
raw,tcn,0.223,0.2366,0.0136,0.1795,4801.6,50000,37846,15.0
raw,bilstm,0.173,0.2115,0.0385,0.1485,4667.46,50000,37846,15.0
corr,rf,0.0091,0.1566,0.1475,0.1273,43.34,50000,37846,
corr,histgb,0.1419,0.1807,0.0388,0.1257,261.63,50000,37846,
corr,tcn,0.1956,0.2195,0.024,0.149,4851.0,50000,37846,15.0
corr,bilstm,0.1132,0.1468,0.0336,0.1198,4699.66,50000,37846,15.0
