version,global_viol_rate,mean_displacement_px,runtime_s,viol_reduction_%
antes,0.11095238095238096,0.0,0.0,0.0
v1 (λ uniforme),0.09257142857142857,8.585210827590828,206.542,16.6
v2 (λ auto),0.05609523809523809,4.3011611778465975,319.129,49.4
v3 (multi-paso),0.04838095238095238,5.796318321407113,277.122,56.4
