lab,video_id,variant,n_frames,n_windows,elapsed_s,ms_per_frame
CalMS21_task1,1236987558,corr,6690,386,178.452,26.674
CalMS21_task1,1184726818,corr,5207,294,187.25,35.961
CalMS21_task1,1104241687,corr,5947,340,198.189,33.326
CalMS21_task1,1089428234,corr,9000,560,213.95,23.772
CalMS21_task2,1025257155,corr,6641,412,219.02,32.98
CalMS21_task1,1094966159,corr,9000,540,256.498,28.5
CalMS21_task1,1185502231,corr,9000,560,266.667,29.63
CalMS21_task1,1036913557,corr,9000,536,289.639,32.182
CalMS21_task2,1071207417,corr,9000,560,244.612,27.179
CalMS21_task2,1095059853,corr,9000,560,242.212,26.912
CalMS21_task2,1121857128,corr,9000,560,218.393,24.266
CalMS21_task2,1155324226,corr,9000,560,233.095,25.899
CalMS21_task2,1187380328,corr,9000,560,253.455,28.162
CalMS21_task2,1192622510,corr,9000,560,249.375,27.708
CalMS21_task2,117097929,corr,9000,560,280.612,31.179
CalMS21_task2,1194961658,corr,9000,560,256.738,28.526
CalMS21_supplemental,1006083669,corr,9000,560,258.948,28.772
CalMS21_task2,1202353959,corr,9000,560,286.537,31.837
CalMS21_supplemental,1014350333,corr,6485,402,212.053,32.699
CalMS21_supplemental,1012566686,corr,9000,560,273.624,30.403
CalMS21_supplemental,1012566850,corr,9000,560,318.017,35.335
CalMS21_supplemental,1019240807,corr,7089,440,238.639,33.663
CalMS21_supplemental,1013428301,corr,9000,560,327.535,36.393
CalMS21_supplemental,1032773418,corr,9000,560,241.042,26.782
CalMS21_supplemental,1015291592,corr,9000,560,308.617,34.291
CalMS21_supplemental,1017236040,corr,9000,560,324.865,36.096
CalMS21_supplemental,1039672228,corr,9000,560,308.891,34.321
JovialSwallow,1096442159,corr,9000,557,402.724,44.747
JovialSwallow,1164701770,corr,9000,551,354.493,39.388
JovialSwallow,1231275297,corr,9000,545,284.43,31.603
JovialSwallow,1098020586,corr,9000,558,391.179,43.464
JovialSwallow,1395387249,corr,9000,556,255.462,28.385
JovialSwallow,1337647037,corr,9000,554,315.877,35.097
JovialSwallow,1212894105,corr,9000,552,365.448,40.605
InvincibleJellyfish,1106234543,corr,9000,250,126.296,14.033
JovialSwallow,1350470271,corr,9000,546,353.874,39.319
InvincibleJellyfish,1108562754,corr,9000,250,115.796,12.866
JovialSwallow,1436885521,corr,9000,555,320.466,35.607
InvincibleJellyfish,1266015456,corr,9000,250,92.019,10.224
InvincibleJellyfish,1171931756,corr,9000,250,133.46,14.829
InvincibleJellyfish,1205744881,corr,9000,250,112.89,12.543
JovialSwallow,1446413535,corr,9000,558,280.277,31.142
InvincibleJellyfish,1239915365,corr,9000,250,132.958,14.773
InvincibleJellyfish,129177073,corr,9000,250,126.592,14.066
InvincibleJellyfish,1356022583,corr,9000,250,143.119,15.902
InvincibleJellyfish,1574549259,corr,9000,250,120.155,13.351
InvincibleJellyfish,1386249360,corr,9000,250,139.297,15.477
TranquilPanther,1462669248,corr,9000,515,178.833,19.87
TranquilPanther,1510465149,corr,9000,494,179.214,19.913
TranquilPanther,1360332361,corr,9000,425,195.67,21.741
TranquilPanther,1057775501,corr,9000,466,210.775,23.419
TranquilPanther,1732555338,corr,9000,496,105.374,11.708
TranquilPanther,1456719978,corr,9000,498,217.539,24.171
TranquilPanther,1557355665,corr,9000,535,217.42,24.158
TranquilPanther,1582739342,corr,9000,499,226.112,25.124
TranquilPanther,1735658729,corr,9000,511,196.775,21.864
TranquilPanther,1651649809,corr,9000,532,235.771,26.197
CRIM13,1319309143,corr,9000,304,155.554,17.284
CRIM13,1592386054,corr,3555,172,97.153,27.329
CRIM13,1490000283,corr,9000,412,154.093,17.121
CRIM13,1213233769,corr,9000,444,224.776,24.975
CRIM13,1149348188,corr,8690,506,238.496,27.445
CRIM13,1381910096,corr,9000,462,217.57,24.174
CRIM13,1009459450,corr,9000,500,272.193,30.244
CRIM13,1313797424,corr,9000,522,270.572,30.064
ElegantMink,1045757672,corr,9000,419,163.845,18.205
CRIM13,1695807459,corr,9000,446,200.723,22.303
ElegantMink,1430254576,corr,9000,402,136.699,15.189
ElegantMink,1176870705,corr,9000,453,263.108,29.234
ElegantMink,1989117401,corr,9000,404,188.611,20.957
ElegantMink,1567994610,corr,9000,449,238.459,26.495
ElegantMink,1504809717,corr,9000,429,262.817,29.202
ElegantMink,1512066687,corr,9000,455,260.761,28.973
ElegantMink,1715945836,corr,9000,440,244.381,27.153
ElegantMink,302673140,corr,9000,452,198.397,22.044
ElegantMink,277941336,corr,9000,434,235.575,26.175
CautiousGiraffe,1341883680,corr,9000,559,293.578,32.62
CautiousGiraffe,1539773935,corr,9000,551,297.531,33.059
CautiousGiraffe,1729143180,corr,9000,555,313.163,34.796
CautiousGiraffe,531143932,corr,9000,546,277.32,30.813
CautiousGiraffe,21954203,corr,9000,556,301.306,33.478
CautiousGiraffe,1657896715,corr,9000,548,341.575,37.953
CautiousGiraffe,673614042,corr,9000,558,298.145,33.127
CautiousGiraffe,684541933,corr,9000,555,294.458,32.718
CautiousGiraffe,265592701,corr,9000,558,320.582,35.62
CautiousGiraffe,956938805,corr,9000,550,321.966,35.774
