comparison,n,mean_a,mean_b,delta,ci_lo,ci_hi,wilcoxon_p,significant
corr - raw,20,0.5331,0.528,-0.0051,-0.0148,0.0032,0.498,False
gated - raw,20,0.5331,0.5309,-0.0022,-0.0074,0.002,0.6406,False
