comparison,n,mean_a,mean_b,delta,ci_lo,ci_hi,wilcoxon_p,significant
corr - raw,20,0.5331,0.5293,-0.0038,-0.0175,0.0081,0.7285,False
gated - raw,20,0.5331,0.5289,-0.0042,-0.0167,0.0044,1.0,False
