condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
raw,CautiousGiraffe,CalMS21_supplemental,0.0,3,18802,21252,52.84
raw,CautiousGiraffe,JovialSwallow,0.0,2,18802,11927,52.28
raw,CautiousGiraffe,InvincibleJellyfish,0.0,3,18802,9980,52.84
raw,CautiousGiraffe,TranquilPanther,0.0,2,18802,13731,50.42
raw,CautiousGiraffe,CRIM13,0.0,1,18802,15028,38.74
raw,CautiousGiraffe,CautiousGiraffe,0.1265,5,13100,5702,19.48
raw,CautiousGiraffe,ElegantMink,0.0,1,18802,12101,23.92
corr,CalMS21_task1,CalMS21_task1,0.0114,6,10650,5922,31.25
corr,CalMS21_task1,JovialSwallow,0.0367,2,16572,11927,39.92
corr,CalMS21_task1,CalMS21_supplemental,0.0081,7,16572,21252,40.1
corr,CalMS21_task1,CalMS21_task2,0.0578,3,16572,21770,39.92
corr,CalMS21_task1,InvincibleJellyfish,0.0044,3,16572,9980,39.87
corr,CalMS21_task1,TranquilPanther,0.0005,2,16572,13731,40.81
corr,CalMS21_task1,CRIM13,0.0171,4,16572,15028,26.52
corr,CalMS21_task1,ElegantMink,0.0133,4,16572,12101,38.26
corr,CalMS21_task2,CalMS21_task2,0.3754,2,15062,6708,39.06
corr,CalMS21_task1,CautiousGiraffe,0.0,3,16572,18802,40.94
corr,CalMS21_task2,CalMS21_task1,0.1022,3,21770,16572,53.39
corr,CalMS21_task2,CalMS21_supplemental,0.0468,3,21770,21252,56.56
corr,CalMS21_task2,JovialSwallow,0.0522,2,21770,11927,55.75
corr,CalMS21_task2,InvincibleJellyfish,0.0698,2,21770,9980,57.02
corr,CalMS21_task2,TranquilPanther,0.0003,1,21770,13731,57.02
corr,CalMS21_task2,CRIM13,0.0538,3,21770,15028,56.75
corr,CalMS21_task2,ElegantMink,0.0366,3,21770,12101,55.99
corr,CalMS21_task2,CautiousGiraffe,0.0,1,21770,18802,56.29
corr,CalMS21_supplemental,CalMS21_supplemental,0.0869,3,14544,6708,44.52
corr,CalMS21_supplemental,CalMS21_task1,0.0229,7,21252,16572,61.44
corr,CalMS21_supplemental,CalMS21_task2,0.0766,3,21252,21770,62.38
corr,CalMS21_supplemental,JovialSwallow,0.0026,2,21252,11927,62.3
corr,CalMS21_supplemental,InvincibleJellyfish,0.0112,3,21252,9980,62.58
corr,CalMS21_supplemental,TranquilPanther,0.0051,2,21252,13731,62.95
corr,JovialSwallow,CalMS21_task1,0.0005,2,11927,16572,35.81
corr,CalMS21_supplemental,CRIM13,0.0051,4,21252,15028,60.88
corr,CalMS21_supplemental,ElegantMink,0.0044,4,21252,12101,59.18
corr,JovialSwallow,CalMS21_task2,0.0044,2,11927,21770,30.07
corr,CalMS21_supplemental,CautiousGiraffe,0.0,3,21252,18802,56.17
corr,JovialSwallow,CalMS21_supplemental,0.0005,2,11927,21252,26.09
corr,JovialSwallow,JovialSwallow,0.0039,1,8853,3074,18.07
corr,JovialSwallow,InvincibleJellyfish,0.0,2,11927,9980,26.32
corr,JovialSwallow,TranquilPanther,0.0,1,11927,13731,26.18
corr,JovialSwallow,CRIM13,0.0008,2,11927,15028,26.59
corr,JovialSwallow,ElegantMink,0.0068,2,11927,12101,25.92
corr,InvincibleJellyfish,CalMS21_task1,0.0106,3,9980,16572,23.81
corr,JovialSwallow,CautiousGiraffe,0.0,2,11927,18802,26.37
corr,InvincibleJellyfish,CalMS21_task2,0.0952,2,9980,21770,23.03
corr,InvincibleJellyfish,CalMS21_supplemental,0.0568,3,9980,21252,23.18
corr,InvincibleJellyfish,JovialSwallow,0.0,2,9980,11927,21.76
corr,InvincibleJellyfish,InvincibleJellyfish,0.0305,5,6986,2994,16.26
corr,InvincibleJellyfish,TranquilPanther,0.0,3,9980,13731,21.96
corr,InvincibleJellyfish,CRIM13,0.0057,3,9980,15028,23.59
corr,InvincibleJellyfish,ElegantMink,0.0226,2,9980,12101,22.43
corr,InvincibleJellyfish,CautiousGiraffe,0.0,3,9980,18802,23.33
corr,TranquilPanther,CalMS21_task1,0.0,2,13731,16572,30.79
corr,TranquilPanther,CalMS21_task2,0.0,1,13731,21770,32.14
corr,TranquilPanther,CalMS21_supplemental,0.0,2,13731,21252,31.49
corr,TranquilPanther,JovialSwallow,0.0,1,13731,11927,30.63
corr,TranquilPanther,TranquilPanther,0.0,3,10002,3729,22.22
corr,TranquilPanther,InvincibleJellyfish,0.0,3,13731,9980,28.9
corr,TranquilPanther,CRIM13,0.0,3,13731,15028,31.98
corr,TranquilPanther,ElegantMink,0.0,1,13731,12101,31.86
corr,TranquilPanther,CautiousGiraffe,0.0,2,13731,18802,32.35
corr,CRIM13,CalMS21_task1,0.0025,4,15028,16572,41.01
corr,CRIM13,CalMS21_task2,0.0078,3,15028,21770,42.29
corr,CRIM13,CalMS21_supplemental,0.0004,4,15028,21252,42.18
corr,CRIM13,JovialSwallow,0.0011,2,15028,11927,42.22
corr,CRIM13,InvincibleJellyfish,0.0,3,15028,9980,40.93
corr,CRIM13,CRIM13,0.005,7,9390,5638,25.61
corr,CRIM13,TranquilPanther,0.0003,3,15028,13731,38.44
corr,CRIM13,ElegantMink,0.0,3,15028,12101,40.91
corr,CRIM13,CautiousGiraffe,0.0,1,15028,18802,41.12
corr,ElegantMink,CalMS21_task1,0.0001,4,12101,16572,29.37
corr,ElegantMink,CalMS21_task2,0.002,3,12101,21770,29.52
corr,ElegantMink,CalMS21_supplemental,0.0,4,12101,21252,28.88
corr,ElegantMink,JovialSwallow,0.0,2,12101,11927,27.2
corr,ElegantMink,InvincibleJellyfish,0.0189,2,12101,9980,23.92
corr,ElegantMink,ElegantMink,0.0,1,7921,4180,21.39
corr,ElegantMink,TranquilPanther,0.0,1,12101,13731,25.63
corr,ElegantMink,CRIM13,0.003,3,12101,15028,26.7
corr,ElegantMink,CautiousGiraffe,0.0,1,12101,18802,31.14
corr,CautiousGiraffe,CalMS21_task1,0.0,3,18802,16572,50.15
corr,CautiousGiraffe,CalMS21_task2,0.0,1,18802,21770,49.92
corr,CautiousGiraffe,CalMS21_supplemental,0.0,3,18802,21252,50.94
corr,CautiousGiraffe,JovialSwallow,0.0,2,18802,11927,50.9
corr,CautiousGiraffe,InvincibleJellyfish,0.0,3,18802,9980,50.66
corr,CautiousGiraffe,TranquilPanther,0.0,2,18802,13731,48.07
corr,CautiousGiraffe,CRIM13,0.0,1,18802,15028,37.5
corr,CautiousGiraffe,CautiousGiraffe,0.1097,5,13100,5702,20.31
corr,CautiousGiraffe,ElegantMink,0.0,1,18802,12101,26.92
